user_id,Studio_User,inactive_days
arielseidman,true,45
alertxundi,true,46
fondazionecatella,true,37
ctc,true,34
jacobhanson,true,54
budbee,true,33
a1brammer,true,37
aeronauta,true,59
qq59691,true,46
yolipark,true,47
doryakov,true,56
iaa2101,true,45
emylee123,true,60
marcolucafo,true,30
easternridgehba,true,45
jpan1987,true,32
kerido,true,37
gfxraptor,true,45
blackberryswing,true,30
ritobart,true,60
cholocate,true,47
auyangs,true,57
reciprocal,true,36
xiameili,true,34
brendanohagan,true,40
evanmilesdesign,true,37
cheungkl04,true,34
antelmo2000,true,53
hitou2020,true,58
dmuro2,true,44
bavyaraj,true,44
dappermark,true,53
alexolymp13,true,47
fpittet,true,55
berfuyilmaz,true,52
xenia123,true,47
haydon,true,56
ali31,true,48
lenatren,true,41
2115712062,true,52
tingyulee,true,53
ecotrustdev,true,38
squidmc,true,49
tommasopepe,true,50
ziyaadoozeer,true,40
travelnet,true,56
natpolitanoo,true,56
carl-chia-plus65,true,44
bobbycool,true,48
tacomix1984,true,30
moebiusliu,true,49
omarpe,true,42
diamond1030,true,60
dan23452767645,true,38
rshilov,true,38
ligongyu,true,56
augusto3691,true,31
mahko-blackburn,true,37
shaaijun,true,40
snehakumar,true,47
roccccck,true,46
jy123-,true,35
pca-process,true,31
yoghurton,true,33
jkr212,true,37
swilson429,true,36
carol-qiu,true,37
e5cape,true,45
marcelogomes244,true,38
alexdgalle,true,38
daniswara2902,true,52
edwintoo,true,42
robren2121,true,31
misterflip93,true,44
katymmedeiros,true,52
eresq,true,40
aanal,true,52
john-paul3010,true,39
charles2019,true,45
maxdrone,true,30
lilanxinnancy,true,36
dgvnz47,true,43
kongling50,true,59
antontejada5,true,41
joaomauricio,true,43
gistester1,true,51
camillaallan,true,49
juboklak,true,36
jennynuss96,true,39
dvr,true,47
aisha199,true,45
facuu96,true,35
khoi-tran,true,34
117star,true,49
mitcheguevara,true,45
composesorul,true,57
tnd613,true,50
tabbarchitecture,true,58
luciferx42,true,33
tvhemert,true,34
acova003,true,47
architectliu,true,60
15927218327,true,51
qasim1434,true,47
darwin8,true,47
ravishnaik1027,true,33
alyssa-george,true,34
wedfordable,true,45
ccassmedia,true,50
monsefred123,true,45
lewwaifong,true,30
chefprog,true,41
veniltondonizetioliveira,true,43
kvazar555,true,56
bgiggins,true,51
aborich,true,52
danielstalder,true,39
mootal,true,59
godlovericea,true,35
chareldors,true,59
z5278299,true,43
zhangbenber,true,33
remarkable,true,58
brunhab,true,41
erbdm,true,48
