user_id,inactive_days_non_studio_user,inactive_days_studio_user
lcastillo9157,150,
gruis,71,
joylan,62,
achung020,96,
rubentjok,0,
aoshima7,,387
459764583,,433
alawnhui,,418
irmavdbrandt,,30
bambipease,60,
sakuramale,,438
griffin-ic,,386
latoyalovesjessiejoe,1,
rodrigoburgosmella,62,
shahruddin,96,
wanamir,,398
reza197,96,
arpit400708,64,
garrettmann04,124,
cognewlos,110,
qaqaqwq,,3
alexisgaillet,,401
dbrown8591,7,
raynetaf,,278
jshota,49,
17684114887,,32
emollon,,496
pascal232,37,
camsalome,11,
notsokhoi,,327
sonalilrt,148,
drielifassioli,,330
ibnhassan,,401
nawdir,14,
eryknexus,9,
sisk,2,
anyto119,0,
bonny2547,231,
diegobaia,,411
bayupaoh,46,
redtopic,11,
rbcintras,62,
yamy,,330
ekaoutletdecor,53,
mkalognomos,,501
tirenn,231,
jackmonkeygames,31,
fleetsin,,458
aausmh,364,
kentavr74,119,
rbezghin,5,
luneytim,,400
sugarmilk,,11
lesnar12345,,86
joaran,75,
weberer,,325
hboniatti,,470
olimb,26,
arabianna,3,
mehulkuvadia,,460
jtremb95,55,
idreambot,148,
dahliam,,120
kmahtab,,351
jeromealexander,288,
diaborak,60,
bmwright,,501
nidhi-mittal23,59,
fincamallorca,0,
steveny,,69
cooperrepco,70,
andypet,216,
leeringo,40,
piaoyilzlyy,81,
crownedsiddd,2,
junpaulit,2,
merryknight,162,
jamieandtrudy,,63
nora4,0,
kekekeya,,36
mlpd,,431
dickwork11,146,
victor-kingo,,509
ringomp,,189
volzinguer,,516
ayushrajput,58,
contrasena,216,
yqueplan,,176
patago65,,387
inghussein,77,
kkto,,172
aum,216,
ronlkie,231,
thomasmundt,,41
knotcc,148,
thecaretaker,4,
gispace,,31
haita11,,522
greencity,0,
takayakaito0123,59,
